Type,Prefix,Tag,Description,text upper button,text lower button,Tag upper button,Tag lower button
2,DSI_101307A,DSI-101307A,SUB_1-HVAC,Activate,Remove,DSI_101307A_OSS,DSI_101307A_OSR
2,DSI_101308A,DSI-101308A,SUB_1-BATTERY,Activate,Remove,DSI_101308A_OSS,DSI_101308A_OSR
2,DSI_090101R,DSI-090101R,UCR-CTRL ROOM,Activate,Remove,DSI_090101R_OSS,DSI_090101R_OSR
2,DSI_090101B,DSI-090101B,UCR-CTRL ROOM,Activate,Remove,DSI_090101B_OSS,DSI_090101B_OSR
2,DSI_090102B,DSI-090102B,UCR-CTRL ROOM,Activate,Remove,DSI_090102B_OSS,DSI_090102B_OSR
2,DSI_090102R,DSI-090102R,UCR-CTRL ROOM,Activate,Remove,DSI_090102R_OSS,DSI_090102R_OSR
2,DSI_090105R,DSI-090105R,UCR-HVAC,Activate,Remove,DSI_090105R_OSS,DSI_090105R_OSR
2,DSI_090106R,DSI-090106R,UCR-CORRIDOR,Activate,Remove,DSI_090106R_OSS,DSI_090106R_OSR
2,DSI_090106B,DSI-090106B,UCR-CORRIDOR,Activate,Remove,DSI_090106B_OSS,DSI_090106B_OSR
2,DSI_090107R,DSI-090107R,UCR-OFFICE,Activate,Remove,DSI_090107R_OSS,DSI_090107R_OSR
2,DSI_090108R,DSI-090108R,UCR-PRAYER ROOM,Activate,Remove,DSI_090108R_OSS,DSI_090108R_OSR
2,DSI_090109R,DSI-090109R,UCR-BATTERY,Activate,Remove,DSI_090109R_OSS,DSI_090109R_OSR
2,DSI_090108B,DSI-090108B,UCR-LOCKER,Activate,Remove,DSI_090108B_OSS,DSI_090108B_OSR
2,DSI_110109R,DSI-110109R,LER_4-STORE,Activate,Remove,DSI_110109R_OSS,DSI_110109R_OSR
2,DSI_101302B,DSI-101302B,SUB_1-HT,Activate,Remove,DSI_101302B_OSS,DSI_101302B_OSR
2,DSI_101302R,DSI-101302R,SUB_1-HT,Activate,Remove,DSI_101302R_OSS,DSI_101302R_OSR
2,DSI_101303R,DSI-101303R,SUB_1-LT,Activate,Remove,DSI_101303R_OSS,DSI_101303R_OSR
2,DSI_101303B,DSI-101303B,SUB_1-LT,Activate,Remove,DSI_101303B_OSS,DSI_101303B_OSR
2,DSI_101303C,DSI-101303C,SUB_1-LT,Activate,Remove,DSI_101303C_OSS,DSI_101303C_OSR
2,DSI_101304B,DSI-101304B,SUB_1-LT,Activate,Remove,DSI_101304B_OSS,DSI_101304B_OSR
2,DSI_101304C,DSI-101304C,SUB_1-LT,Activate,Remove,DSI_101304C_OSS,DSI_101304C_OSR
2,DSI_101304R,DSI-101304R,SUB_1-LT,Activate,Remove,DSI_101304R_OSS,DSI_101304R_OSR
2,DSI_101307R,DSI-101307R,SUB_1-HVAC,Activate,Remove,DSI_101307R_OSS,DSI_101307R_OSR
2,DSI_101308R,DSI-101308R,SUB_1-BATTERY,Activate,Remove,DSI_101308R_OSS,DSI_101308R_OSR
